B01003_001E,B17001_002E,NAME,county,state,tract
3049,778,"Census Tract 5001, Wayne County, Michigan",163,26,500100
2666,712,"Census Tract 5002, Wayne County, Michigan",163,26,500200
2234,833,"Census Tract 5003, Wayne County, Michigan",163,26,500300
1154,617,"Census Tract 5004, Wayne County, Michigan",163,26,500400
1632,467,"Census Tract 5005, Wayne County, Michigan",163,26,500500
2928,1339,"Census Tract 5006, Wayne County, Michigan",163,26,500600
4467,2053,"Census Tract 5007, Wayne County, Michigan",163,26,500700
2727,1198,"Census Tract 5008, Wayne County, Michigan",163,26,500800
3415,1242,"Census Tract 5009, Wayne County, Michigan",163,26,500900
3083,1210,"Census Tract 5010, Wayne County, Michigan",163,26,501000
2825,1336,"Census Tract 5011, Wayne County, Michigan",163,26,501100
1713,828,"Census Tract 5012, Wayne County, Michigan",163,26,501200
3468,1651,"Census Tract 5013, Wayne County, Michigan",163,26,501300
3737,799,"Census Tract 5014, Wayne County, Michigan",163,26,501400
4554,2088,"Census Tract 5015, Wayne County, Michigan",163,26,501500
1981,854,"Census Tract 5016, Wayne County, Michigan",163,26,501600
2247,950,"Census Tract 5017, Wayne County, Michigan",163,26,501700
4754,941,"Census Tract 5018, Wayne County, Michigan",163,26,501800
3113,1527,"Census Tract 5019, Wayne County, Michigan",163,26,501900
2370,701,"Census Tract 5020, Wayne County, Michigan",163,26,502000
3286,878,"Census Tract 5031, Wayne County, Michigan",163,26,503100
2465,1042,"Census Tract 5032, Wayne County, Michigan",163,26,503200
3620,934,"Census Tract 5033, Wayne County, Michigan",163,26,503300
1213,298,"Census Tract 5034, Wayne County, Michigan",163,26,503400
3330,1175,"Census Tract 5035, Wayne County, Michigan",163,26,503500
1688,399,"Census Tract 5036, Wayne County, Michigan",163,26,503600
1808,687,"Census Tract 5039, Wayne County, Michigan",163,26,503900
1396,536,"Census Tract 5040, Wayne County, Michigan",163,26,504000
1488,904,"Census Tract 5041, Wayne County, Michigan",163,26,504100
1965,1055,"Census Tract 5042, Wayne County, Michigan",163,26,504200
2214,903,"Census Tract 5043, Wayne County, Michigan",163,26,504300
1656,660,"Census Tract 5044, Wayne County, Michigan",163,26,504400
1741,832,"Census Tract 5047, Wayne County, Michigan",163,26,504700
875,312,"Census Tract 5048, Wayne County, Michigan",163,26,504800
3298,1177,"Census Tract 5049, Wayne County, Michigan",163,26,504900
1125,360,"Census Tract 5050, Wayne County, Michigan",163,26,505000
3365,1377,"Census Tract 5051, Wayne County, Michigan",163,26,505100
3141,954,"Census Tract 5052, Wayne County, Michigan",163,26,505200
2480,1185,"Census Tract 5054, Wayne County, Michigan",163,26,505400
1300,770,"Census Tract 5055, Wayne County, Michigan",163,26,505500
2016,853,"Census Tract 5061, Wayne County, Michigan",163,26,506100
2306,1220,"Census Tract 5062, Wayne County, Michigan",163,26,506200
2038,634,"Census Tract 5063, Wayne County, Michigan",163,26,506300
1979,471,"Census Tract 5064, Wayne County, Michigan",163,26,506400
2496,1329,"Census Tract 5065, Wayne County, Michigan",163,26,506500
2769,1099,"Census Tract 5066, Wayne County, Michigan",163,26,506600
1136,426,"Census Tract 5067, Wayne County, Michigan",163,26,506700
3708,1446,"Census Tract 5068, Wayne County, Michigan",163,26,506800
3570,1058,"Census Tract 5069, Wayne County, Michigan",163,26,506900
2884,1385,"Census Tract 5070, Wayne County, Michigan",163,26,507000
2633,1001,"Census Tract 5071, Wayne County, Michigan",163,26,507100
1217,596,"Census Tract 5072, Wayne County, Michigan",163,26,507200
1872,245,"Census Tract 5073, Wayne County, Michigan",163,26,507300
2564,680,"Census Tract 5074, Wayne County, Michigan",163,26,507400
1937,666,"Census Tract 5075, Wayne County, Michigan",163,26,507500
520,228,"Census Tract 5078, Wayne County, Michigan",163,26,507800
1443,480,"Census Tract 5079, Wayne County, Michigan",163,26,507900
