B05010_001E,NAME,block group,county,state,tract
,"Block Group 1, Census Tract 5001, Wayne County, Michigan",1,163,26,500100
,"Block Group 2, Census Tract 5001, Wayne County, Michigan",2,163,26,500100
,"Block Group 3, Census Tract 5001, Wayne County, Michigan",3,163,26,500100
,"Block Group 4, Census Tract 5001, Wayne County, Michigan",4,163,26,500100
,"Block Group 1, Census Tract 5002, Wayne County, Michigan",1,163,26,500200
,"Block Group 2, Census Tract 5002, Wayne County, Michigan",2,163,26,500200
,"Block Group 3, Census Tract 5002, Wayne County, Michigan",3,163,26,500200
,"Block Group 4, Census Tract 5002, Wayne County, Michigan",4,163,26,500200
,"Block Group 1, Census Tract 5003, Wayne County, Michigan",1,163,26,500300
,"Block Group 2, Census Tract 5003, Wayne County, Michigan",2,163,26,500300
,"Block Group 3, Census Tract 5003, Wayne County, Michigan",3,163,26,500300
,"Block Group 4, Census Tract 5003, Wayne County, Michigan",4,163,26,500300
,"Block Group 1, Census Tract 5004, Wayne County, Michigan",1,163,26,500400
,"Block Group 2, Census Tract 5004, Wayne County, Michigan",2,163,26,500400
,"Block Group 3, Census Tract 5004, Wayne County, Michigan",3,163,26,500400
,"Block Group 4, Census Tract 5004, Wayne County, Michigan",4,163,26,500400
,"Block Group 1, Census Tract 5005, Wayne County, Michigan",1,163,26,500500
,"Block Group 2, Census Tract 5005, Wayne County, Michigan",2,163,26,500500
,"Block Group 3, Census Tract 5005, Wayne County, Michigan",3,163,26,500500
,"Block Group 4, Census Tract 5005, Wayne County, Michigan",4,163,26,500500
,"Block Group 1, Census Tract 5006, Wayne County, Michigan",1,163,26,500600
,"Block Group 2, Census Tract 5006, Wayne County, Michigan",2,163,26,500600
,"Block Group 3, Census Tract 5006, Wayne County, Michigan",3,163,26,500600
,"Block Group 4, Census Tract 5006, Wayne County, Michigan",4,163,26,500600
,"Block Group 5, Census Tract 5006, Wayne County, Michigan",5,163,26,500600
,"Block Group 1, Census Tract 5007, Wayne County, Michigan",1,163,26,500700
,"Block Group 2, Census Tract 5007, Wayne County, Michigan",2,163,26,500700
,"Block Group 3, Census Tract 5007, Wayne County, Michigan",3,163,26,500700
,"Block Group 4, Census Tract 5007, Wayne County, Michigan",4,163,26,500700
,"Block Group 1, Census Tract 5008, Wayne County, Michigan",1,163,26,500800
,"Block Group 2, Census Tract 5008, Wayne County, Michigan",2,163,26,500800
,"Block Group 1, Census Tract 5009, Wayne County, Michigan",1,163,26,500900
,"Block Group 2, Census Tract 5009, Wayne County, Michigan",2,163,26,500900
,"Block Group 3, Census Tract 5009, Wayne County, Michigan",3,163,26,500900
,"Block Group 4, Census Tract 5009, Wayne County, Michigan",4,163,26,500900
,"Block Group 1, Census Tract 5010, Wayne County, Michigan",1,163,26,501000
,"Block Group 2, Census Tract 5010, Wayne County, Michigan",2,163,26,501000
,"Block Group 3, Census Tract 5010, Wayne County, Michigan",3,163,26,501000
,"Block Group 1, Census Tract 5011, Wayne County, Michigan",1,163,26,501100
,"Block Group 2, Census Tract 5011, Wayne County, Michigan",2,163,26,501100
,"Block Group 3, Census Tract 5011, Wayne County, Michigan",3,163,26,501100
,"Block Group 4, Census Tract 5011, Wayne County, Michigan",4,163,26,501100
,"Block Group 5, Census Tract 5011, Wayne County, Michigan",5,163,26,501100
,"Block Group 1, Census Tract 5012, Wayne County, Michigan",1,163,26,501200
,"Block Group 2, Census Tract 5012, Wayne County, Michigan",2,163,26,501200
,"Block Group 1, Census Tract 5013, Wayne County, Michigan",1,163,26,501300
,"Block Group 2, Census Tract 5013, Wayne County, Michigan",2,163,26,501300
,"Block Group 3, Census Tract 5013, Wayne County, Michigan",3,163,26,501300
,"Block Group 4, Census Tract 5013, Wayne County, Michigan",4,163,26,501300
,"Block Group 5, Census Tract 5013, Wayne County, Michigan",5,163,26,501300
,"Block Group 1, Census Tract 5014, Wayne County, Michigan",1,163,26,501400
,"Block Group 2, Census Tract 5014, Wayne County, Michigan",2,163,26,501400
,"Block Group 3, Census Tract 5014, Wayne County, Michigan",3,163,26,501400
,"Block Group 4, Census Tract 5014, Wayne County, Michigan",4,163,26,501400
,"Block Group 1, Census Tract 5015, Wayne County, Michigan",1,163,26,501500
,"Block Group 2, Census Tract 5015, Wayne County, Michigan",2,163,26,501500
,"Block Group 3, Census Tract 5015, Wayne County, Michigan",3,163,26,501500
,"Block Group 4, Census Tract 5015, Wayne County, Michigan",4,163,26,501500
,"Block Group 5, Census Tract 5015, Wayne County, Michigan",5,163,26,501500
,"Block Group 1, Census Tract 5016, Wayne County, Michigan",1,163,26,501600
,"Block Group 2, Census Tract 5016, Wayne County, Michigan",2,163,26,501600
,"Block Group 1, Census Tract 5017, Wayne County, Michigan",1,163,26,501700
,"Block Group 2, Census Tract 5017, Wayne County, Michigan",2,163,26,501700
,"Block Group 1, Census Tract 5018, Wayne County, Michigan",1,163,26,501800
,"Block Group 2, Census Tract 5018, Wayne County, Michigan",2,163,26,501800
,"Block Group 3, Census Tract 5018, Wayne County, Michigan",3,163,26,501800
,"Block Group 4, Census Tract 5018, Wayne County, Michigan",4,163,26,501800
,"Block Group 1, Census Tract 5019, Wayne County, Michigan",1,163,26,501900
,"Block Group 2, Census Tract 5019, Wayne County, Michigan",2,163,26,501900
,"Block Group 3, Census Tract 5019, Wayne County, Michigan",3,163,26,501900
,"Block Group 4, Census Tract 5019, Wayne County, Michigan",4,163,26,501900
,"Block Group 1, Census Tract 5020, Wayne County, Michigan",1,163,26,502000
,"Block Group 2, Census Tract 5020, Wayne County, Michigan",2,163,26,502000
,"Block Group 1, Census Tract 5031, Wayne County, Michigan",1,163,26,503100
,"Block Group 2, Census Tract 5031, Wayne County, Michigan",2,163,26,503100
,"Block Group 3, Census Tract 5031, Wayne County, Michigan",3,163,26,503100
,"Block Group 1, Census Tract 5032, Wayne County, Michigan",1,163,26,503200
,"Block Group 2, Census Tract 5032, Wayne County, Michigan",2,163,26,503200
,"Block Group 3, Census Tract 5032, Wayne County, Michigan",3,163,26,503200
,"Block Group 1, Census Tract 5033, Wayne County, Michigan",1,163,26,503300
